,date,rank,songs,artist
0,1991,1,Bad Day,Daniel Powter
1,1991,2,Temperature,Sean Paul
2,1991,3,Promiscuous,Nelly Furtado Featuring Timbaland
3,1991,4,You're Beautiful,James Blunt
4,1991,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
5,1991,6,Unwritten,Natasha Bedingfield
6,1991,7,Crazy,Gnarls Barkley
7,1991,8,Ridin',Chamillionaire Featuring Krayzie Bone
8,1991,9,SexyBack,Justin Timberlake
9,1991,10,Check On It,Beyonce Featuring Slim Thug
10,1991,11,Be Without You,Mary J. Blige
11,1991,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
12,1991,13,Over My Head (Cable Car),The Fray
13,1991,14,Me & U,Cassie
14,1991,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
15,1991,16,Run It!,Chris Brown
16,1991,17,So Sick,Ne-Yo
17,1991,18,It's Goin' Down,Yung Joc
18,1991,19,SOS,Rihanna
19,1991,20,I Write Sins Not Tragedies,Panic! At The Disco
20,1991,21,Move Along,The All-American Rejects
21,1991,22,London Bridge,Fergie
22,1991,23,Dani California,Red Hot Chili Peppers
23,1991,24, Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
24,1991,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
25,1991,26,What Hurts The Most,Rascal Flatts
26,1991,27,How To Save A Life,The Fray
27,1991,28,Unfaithful,Rihanna
28,1991,29,Chasing Cars,Snow Patrol
29,1991,30,Lips Of An Angel,Hinder
30,1991,31,Everytime We Touch,Cascada
31,1991,32,Ain't No Other Man,Christina Aguilera
32,1991,33,"Dance, Dance",Fall Out Boy
33,1991,34,Gold Digger,Kanye West Featuring Jamie Foxx
34,1991,35,Money Maker, Ludacris Featuring Pharrell
35,1991,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
36,1991,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
37,1991,38,Photograph,Nickelback
38,1991,39,Because Of You,Kelly Clarkson
39,1991,40,Stickwitu,The Pussycat Dolls
40,1991,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
41,1991,42,My Humps,The Black Eyed Peas
42,1991,43,Where'd You Go,Fort Minor Featuring Holly Brook
43,1991,44,Yo (Excuse Me Miss),Chris Brown
44,1991,45,Walk Away,Kelly Clarkson
45,1991,46, Laffy Taffy,D4L
46,1991,47,What You Know,T.I.
47,1991,48,Dirty Little Secret,The All-American Rejects
48,1991,49,Savin' Me,Nickelback
49,1991,50,Don't Forget About Us,Mariah Carey
50,1991,51,Sexy Love,Ne-Yo
51,1991,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
52,1991,53,Far Away,Nickelback
53,1991,54,What's Left Of Me,Nick Lachey
54,1991,55,So What,Field Mob Featuring Ciara
55,1991,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
56,1991,57,Black Horse & The Cherry Tree,KT Tunstall
57,1991,58,There It Go! (The Whistle Song),Juelz Santana
58,1991,59,Shoulder Lean,Young Dro Featuring T.I.
59,1991,60,Unpredictable,Jamie Foxx Featuring Ludacris
60,1991,61,My Love,Justin Timberlake Featuring T.I.
61,1991,62,Shake That,Eminem Featuring Nate Dogg
62,1991,63,Pullin' Me Back,Chingy Featuring Tyrese
63,1991,64,Bossy,Kelis Featuring Too $hort
64,1991,65,Chain Hang Low,Jibbs
65,1991,66,Smack That,Akon Featuring Eminem
66,1991,67,One Wish,Ray J
67,1991,68,"Sugar, We're Goin' Down", Fall Out Boy
68,1991,69,Gimme That,Chris Brown Featuring Lil Wayne
69,1991,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
70,1991,71,Who Says You Can't Go Home,Bon Jovi
71,1991,72,Too Little Too Late,JoJo
72,1991,73,Touch It,Busta Rhymes
73,1991,74,Rompe,Daddy Yankee
74,1991,75,Deja Vu,Beyonce Featuring Jay Z
75,1991,76,Life Is A Highway,Rascal Flatts
76,1991,77,Call Me When You're Sober,Evanescence
77,1991,78,"Jesus, Take The Wheel",Carrie Underwood
78,1991,79,Show Stopper,Danity Kane
79,1991,80,Get Up,Ciara Featuring Chamillionaire
80,1991,81,We Be Burnin',Sean Paul
81,1991,82,Hate Me,Blue October
82,1991,83,You And Me,Lifehouse
83,1991,84,Beep,The Pussycat Dolls Featuring will.i.am
84,1991,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
85,1991,86,Say Goodbye,Chris Brown
86,1991,87,Waiting On The World To Change,John Mayer
87,1991,88,Soul Survivor,Young Jeezy Featuring Akon
88,1991,89,Pump It,The Black Eyed Peas
89,1991,90,When I'm Gone,Eminem
90,1991,91,Hung Up,Madonna
91,1991,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
92,1991,93,Love,Keyshia Cole
93,1991,94,When You're Mad,Ne-Yo
94,1991,95,Why You Wanna,T.I.
95,1991,96,Stupid Girls,P!nk
96,1991,97,Feel Good Inc,Gorillaz
97,1991,98,I'm Sprung,T-Pain
98,1991,99,Do I Make You Proud,Taylor Hicks
99,1991,100,For You I Will (Confidence),Teddy Geiger
100,1992,1,Bad Day,Daniel Powter
101,1992,2,Temperature,Sean Paul
102,1992,3,Promiscuous,Nelly Furtado Featuring Timbaland
103,1992,4,You're Beautiful,James Blunt
104,1992,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
105,1992,6,Unwritten,Natasha Bedingfield
106,1992,7,Crazy,Gnarls Barkley
107,1992,8,Ridin',Chamillionaire Featuring Krayzie Bone
108,1992,9,SexyBack,Justin Timberlake
109,1992,10,Check On It,Beyonce Featuring Slim Thug
110,1992,11,Be Without You,Mary J. Blige
111,1992,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
112,1992,13,Over My Head (Cable Car),The Fray
113,1992,14,Me & U,Cassie
114,1992,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
115,1992,16,Run It!,Chris Brown
116,1992,17,So Sick,Ne-Yo
117,1992,18,It's Goin' Down,Yung Joc
118,1992,19,SOS,Rihanna
119,1992,20,I Write Sins Not Tragedies,Panic! At The Disco
120,1992,21,Move Along,The All-American Rejects
121,1992,22,London Bridge,Fergie
122,1992,23,Dani California,Red Hot Chili Peppers
123,1992,24, Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
124,1992,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
125,1992,26,What Hurts The Most,Rascal Flatts
126,1992,27,How To Save A Life,The Fray
127,1992,28,Unfaithful,Rihanna
128,1992,29,Chasing Cars,Snow Patrol
129,1992,30,Lips Of An Angel,Hinder
130,1992,31,Everytime We Touch,Cascada
131,1992,32,Ain't No Other Man,Christina Aguilera
132,1992,33,"Dance, Dance",Fall Out Boy
133,1992,34,Gold Digger,Kanye West Featuring Jamie Foxx
134,1992,35,Money Maker, Ludacris Featuring Pharrell
135,1992,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
136,1992,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
137,1992,38,Photograph,Nickelback
138,1992,39,Because Of You,Kelly Clarkson
139,1992,40,Stickwitu,The Pussycat Dolls
140,1992,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
141,1992,42,My Humps,The Black Eyed Peas
142,1992,43,Where'd You Go,Fort Minor Featuring Holly Brook
143,1992,44,Yo (Excuse Me Miss),Chris Brown
144,1992,45,Walk Away,Kelly Clarkson
145,1992,46, Laffy Taffy,D4L
146,1992,47,What You Know,T.I.
147,1992,48,Dirty Little Secret,The All-American Rejects
148,1992,49,Savin' Me,Nickelback
149,1992,50,Don't Forget About Us,Mariah Carey
150,1992,51,Sexy Love,Ne-Yo
151,1992,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
152,1992,53,Far Away,Nickelback
153,1992,54,What's Left Of Me,Nick Lachey
154,1992,55,So What,Field Mob Featuring Ciara
155,1992,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
156,1992,57,Black Horse & The Cherry Tree,KT Tunstall
157,1992,58,There It Go! (The Whistle Song),Juelz Santana
158,1992,59,Shoulder Lean,Young Dro Featuring T.I.
159,1992,60,Unpredictable,Jamie Foxx Featuring Ludacris
160,1992,61,My Love,Justin Timberlake Featuring T.I.
161,1992,62,Shake That,Eminem Featuring Nate Dogg
162,1992,63,Pullin' Me Back,Chingy Featuring Tyrese
163,1992,64,Bossy,Kelis Featuring Too $hort
164,1992,65,Chain Hang Low,Jibbs
165,1992,66,Smack That,Akon Featuring Eminem
166,1992,67,One Wish,Ray J
167,1992,68,"Sugar, We're Goin' Down", Fall Out Boy
168,1992,69,Gimme That,Chris Brown Featuring Lil Wayne
169,1992,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
170,1992,71,Who Says You Can't Go Home,Bon Jovi
171,1992,72,Too Little Too Late,JoJo
172,1992,73,Touch It,Busta Rhymes
173,1992,74,Rompe,Daddy Yankee
174,1992,75,Deja Vu,Beyonce Featuring Jay Z
175,1992,76,Life Is A Highway,Rascal Flatts
176,1992,77,Call Me When You're Sober,Evanescence
177,1992,78,"Jesus, Take The Wheel",Carrie Underwood
178,1992,79,Show Stopper,Danity Kane
179,1992,80,Get Up,Ciara Featuring Chamillionaire
180,1992,81,We Be Burnin',Sean Paul
181,1992,82,Hate Me,Blue October
182,1992,83,You And Me,Lifehouse
183,1992,84,Beep,The Pussycat Dolls Featuring will.i.am
184,1992,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
185,1992,86,Say Goodbye,Chris Brown
186,1992,87,Waiting On The World To Change,John Mayer
187,1992,88,Soul Survivor,Young Jeezy Featuring Akon
188,1992,89,Pump It,The Black Eyed Peas
189,1992,90,When I'm Gone,Eminem
190,1992,91,Hung Up,Madonna
191,1992,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
192,1992,93,Love,Keyshia Cole
193,1992,94,When You're Mad,Ne-Yo
194,1992,95,Why You Wanna,T.I.
195,1992,96,Stupid Girls,P!nk
196,1992,97,Feel Good Inc,Gorillaz
197,1992,98,I'm Sprung,T-Pain
198,1992,99,Do I Make You Proud,Taylor Hicks
199,1992,100,For You I Will (Confidence),Teddy Geiger
200,1993,1,Bad Day,Daniel Powter
201,1993,2,Temperature,Sean Paul
202,1993,3,Promiscuous,Nelly Furtado Featuring Timbaland
203,1993,4,You're Beautiful,James Blunt
204,1993,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
205,1993,6,Unwritten,Natasha Bedingfield
206,1993,7,Crazy,Gnarls Barkley
207,1993,8,Ridin',Chamillionaire Featuring Krayzie Bone
208,1993,9,SexyBack,Justin Timberlake
209,1993,10,Check On It,Beyonce Featuring Slim Thug
210,1993,11,Be Without You,Mary J. Blige
211,1993,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
212,1993,13,Over My Head (Cable Car),The Fray
213,1993,14,Me & U,Cassie
214,1993,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
215,1993,16,Run It!,Chris Brown
216,1993,17,So Sick,Ne-Yo
217,1993,18,It's Goin' Down,Yung Joc
218,1993,19,SOS,Rihanna
219,1993,20,I Write Sins Not Tragedies,Panic! At The Disco
220,1993,21,Move Along,The All-American Rejects
221,1993,22,London Bridge,Fergie
222,1993,23,Dani California,Red Hot Chili Peppers
223,1993,24, Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
224,1993,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
225,1993,26,What Hurts The Most,Rascal Flatts
226,1993,27,How To Save A Life,The Fray
227,1993,28,Unfaithful,Rihanna
228,1993,29,Chasing Cars,Snow Patrol
229,1993,30,Lips Of An Angel,Hinder
230,1993,31,Everytime We Touch,Cascada
231,1993,32,Ain't No Other Man,Christina Aguilera
232,1993,33,"Dance, Dance",Fall Out Boy
233,1993,34,Gold Digger,Kanye West Featuring Jamie Foxx
234,1993,35,Money Maker, Ludacris Featuring Pharrell
235,1993,36,Ms. New Booty,Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
236,1993,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
237,1993,38,Photograph,Nickelback
238,1993,39,Because Of You,Kelly Clarkson
239,1993,40,Stickwitu,The Pussycat Dolls
240,1993,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
241,1993,42,My Humps,The Black Eyed Peas
242,1993,43,Where'd You Go,Fort Minor Featuring Holly Brook
243,1993,44,Yo (Excuse Me Miss),Chris Brown
244,1993,45,Walk Away,Kelly Clarkson
245,1993,46, Laffy Taffy,D4L
246,1993,47,What You Know,T.I.
247,1993,48,Dirty Little Secret,The All-American Rejects
248,1993,49,Savin' Me,Nickelback
249,1993,50,Don't Forget About Us,Mariah Carey
250,1993,51,Sexy Love,Ne-Yo
251,1993,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
252,1993,53,Far Away,Nickelback
253,1993,54,What's Left Of Me,Nick Lachey
254,1993,55,So What,Field Mob Featuring Ciara
255,1993,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
256,1993,57,Black Horse & The Cherry Tree,KT Tunstall
257,1993,58,There It Go! (The Whistle Song),Juelz Santana
258,1993,59,Shoulder Lean,Young Dro Featuring T.I.
259,1993,60,Unpredictable,Jamie Foxx Featuring Ludacris
260,1993,61,My Love,Justin Timberlake Featuring T.I.
261,1993,62,Shake That,Eminem Featuring Nate Dogg
262,1993,63,Pullin' Me Back,Chingy Featuring Tyrese
263,1993,64,Bossy,Kelis Featuring Too $hort
264,1993,65,Chain Hang Low,Jibbs
265,1993,66,Smack That,Akon Featuring Eminem
266,1993,67,One Wish,Ray J
267,1993,68,"Sugar, We're Goin' Down", Fall Out Boy
268,1993,69,Gimme That,Chris Brown Featuring Lil Wayne
269,1993,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
270,1993,71,Who Says You Can't Go Home,Bon Jovi
271,1993,72,Too Little Too Late,JoJo
272,1993,73,Touch It,Busta Rhymes
273,1993,74,Rompe,Daddy Yankee
274,1993,75,Deja Vu,Beyonce Featuring Jay Z
275,1993,76,Life Is A Highway,Rascal Flatts
276,1993,77,Call Me When You're Sober,Evanescence
277,1993,78,"Jesus, Take The Wheel",Carrie Underwood
278,1993,79,Show Stopper,Danity Kane
279,1993,80,Get Up,Ciara Featuring Chamillionaire
280,1993,81,We Be Burnin',Sean Paul
281,1993,82,Hate Me,Blue October
282,1993,83,You And Me,Lifehouse
283,1993,84,Beep,The Pussycat Dolls Featuring will.i.am
284,1993,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
285,1993,86,Say Goodbye,Chris Brown
286,1993,87,Waiting On The World To Change,John Mayer
287,1993,88,Soul Survivor,Young Jeezy Featuring Akon
288,1993,89,Pump It,The Black Eyed Peas
289,1993,90,When I'm Gone,Eminem
290,1993,91,Hung Up,Madonna
291,1993,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
292,1993,93,Love,Keyshia Cole
293,1993,94,When You're Mad,Ne-Yo
294,1993,95,Why You Wanna,T.I.
295,1993,96,Stupid Girls,P!nk
296,1993,97,Feel Good Inc,Gorillaz
297,1993,98,I'm Sprung,T-Pain
298,1993,99,Do I Make You Proud,Taylor Hicks
299,1993,100,For You I Will (Confidence),Teddy Geiger
300,1994,1,Bad Day,Daniel Powter
301,1994,2,Temperature,Sean Paul
302,1994,3,Promiscuous,Nelly Furtado Featuring Timbaland
303,1994,4,You're Beautiful,James Blunt
304,1994,5,Hips Don't Lie,Shakira Featuring Wyclef Jean
305,1994,6,Unwritten,Natasha Bedingfield
306,1994,7,Crazy,Gnarls Barkley
307,1994,8,Ridin',Chamillionaire Featuring Krayzie Bone
308,1994,9,SexyBack,Justin Timberlake
309,1994,10,Check On It,Beyonce Featuring Slim Thug
310,1994,11,Be Without You,Mary J. Blige
311,1994,12,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp"
312,1994,13,Over My Head (Cable Car),The Fray
313,1994,14,Me & U,Cassie
314,1994,15,Buttons,The Pussycat Dolls Featuring Snoop Dogg
315,1994,16,Run It!,Chris Brown
316,1994,17,So Sick,Ne-Yo
317,1994,18,It's Goin' Down,Yung Joc
318,1994,19,SOS,Rihanna
319,1994,20,I Write Sins Not Tragedies,Panic! At The Disco
320,1994,21,Move Along,The All-American Rejects
321,1994,22,London Bridge,Fergie
322,1994,23,Dani California,Red Hot Chili Peppers
323,1994,24,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ
324,1994,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay
325,1994,26,What Hurts The Most,Rascal Flatts
326,1994,27,How To Save A Life,The Fray
327,1994,28,Unfaithful,Rihanna
328,1994,29,Chasing Cars,Snow Patrol
329,1994,30,Lips Of An Angel,Hinder
330,1994,31,Everytime We Touch,Cascada
331,1994,32,Ain't No Other Man,Christina Aguilera
332,1994,33,"Dance, Dance",Fall Out Boy
333,1994,34,Gold Digger,Kanye West Featuring Jamie Foxx
334,1994,35,Money Maker,Ludacris Featuring Pharrell
335,1994,36,"Ms. New Booty
 ",Bubba Sparxxx Featuring Ying Yang Twins & Mr. ColliPark
336,1994,37,(When You Gonna) Give It Up To Me,Sean Paul Featuring Keyshia Cole
337,1994,38,Photograph,Nickelback
338,1994,39,Because Of You,Kelly Clarkson
339,1994,40,Stickwitu,The Pussycat Dolls
340,1994,41,I'm N Luv (Wit A Stripper),T-Pain Featuring Mike Jones
341,1994,42,My Humps,The Black Eyed Peas
342,1994,43,Where'd You Go,Fort Minor Featuring Holly Brook
343,1994,44,Yo (Excuse Me Miss),Chris Brown
344,1994,45,Walk Away,Kelly Clarkson
345,1994,46,Laffy Taffy,D4L
346,1994,47, What You Know,T.I.
347,1994,48,Dirty Little Secret,The All-American Rejects
348,1994,49,Savin' Me,Nickelback
349,1994,50,Don't Forget About Us, Mariah Carey
350,1994,51,Sexy Love,Ne-Yo
351,1994,52,U And Dat,E-40 Featuring T-Pain & Kandi Girl
352,1994,53,Far Away,Nickelback
353,1994,54,What's Left Of Me,Nick Lachey
354,1994,55,So What,Field Mob Featuring Ciara
355,1994,56,Do It To It,Cherish Featuring Sean Paul Of The YoungBloodZ
356,1994,57,Black Horse & The Cherry Tree,KT Tunstall
357,1994,58,There It Go! (The Whistle Song),Juelz Santana
358,1994,59,Shoulder Lean,Young Dro Featuring T.I.
359,1994,60,Unpredictable,Jamie Foxx Featuring Ludacris
360,1994,61,My Love,Justin Timberlake Featuring T.I.
361,1994,62,Shake That,Eminem Featuring Nate Dogg
362,1994,63,Pullin' Me Back,Chingy Featuring Tyrese
363,1994,64,Bossy,Kelis Featuring Too $hort
364,1994,65,Chain Hang Low,Jibbs
365,1994,66,Smack That,Akon Featuring Eminem
366,1994,67,One Wish,Ray J
367,1994,68,"Sugar, We're Goin' Down",Fall Out Boy
368,1994,69,Gimme That,Chris Brown Featuring Lil Wayne
369,1994,70,I Know You See It,Yung Joc Featuring Brandy 'Ms. B.' Hambrick
370,1994,71,Who Says You Can't Go Home,Bon Jovi
371,1994,72,Too Little Too Late,JoJo
372,1994,73,Touch It,Busta Rhymes
373,1994,74,Rompe,Daddy Yankee
374,1994,75,Deja Vu,Beyonce Featuring Jay Z
375,1994,76,Life Is A Highway,Rascal Flatts
376,1994,77,Call Me When You're Sober,Evanescence
377,1994,78,"Jesus, Take The Wheel",Carrie Underwood
378,1994,79,Show Stopper,Danity Kane
379,1994,80,Get Up,Ciara Featuring Chamillionaire
380,1994,81,We Be Burnin',Sean Paul
381,1994,82,Hate Me,Blue October
382,1994,83,You And Me,Lifehouse
383,1994,84,Beep,The Pussycat Dolls Featuring will.i.am
384,1994,85,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow"
385,1994,86,Say Goodbye,Chris Brown
386,1994,87,Waiting On The World To Change,John Mayer
387,1994,88,Soul Survivor,Young Jeezy Featuring Akon
388,1994,89,Pump It,The Black Eyed Peas
389,1994,90,When I'm Gone,Eminem
390,1994,91,Hung Up,Madonna
391,1994,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG
392,1994,93,Love,Keyshia Cole
393,1994,94,When You're Mad,Ne-Yo
394,1994,95,Why You Wanna,T.I.
395,1994,96,Stupid Girls,P!nk
396,1994,97,Feel Good Inc,Gorillaz
397,1994,98,I'm Sprung,T-Pain
398,1994,99,Do I Make You Proud,Taylor Hicks
399,1994,100,For You I Will (Confidence),Teddy Geiger
